,2_1 - Inside Sales - Sales Insight
CaseGroup__c-Case Groups Layout,recordType=
CaseMilestone-Case Milestone Layout,recordType=
Case_Article_Junction__c-Case Article Junction Layout,recordType=
Case_Assignment__c-Case Assignment Layout,recordType=
Case_Group_User__c-Case Group User Layout,recordType=
Case_Group_Users__c-Case Group Users Layout,recordType=
Case_Group__c-Case Group Layout,recordType=
Case_Groups__c-Case Groups Layout,recordType=
Case_History__c-Case History Layout,recordType=
Case_Subscription__c-Case Subscription Layout,recordType=
Case_To_Project_Junc__c-Case To Project Junc Layout,recordType=
Case_assignment_rule__c-Case assignment rule Layout,recordType=
CollaborationGroup-Group Layout,recordType=
Company_Code__c-Company Code Layout,recordType=
Contact-Contact Layout Sales OF Marketo Sales Insight,recordType=
Contact_Microsite_Relationship__c-Contact Microsite Relationship Layout,recordType=
Contact_to_case_group_junction__c-Contact Case Group Layout,recordType=
ContentVersion-Account Type,recordType=ContentVersion.Account_Type
ContentVersion-Booking Package,recordType=ContentVersion.Booking_Package
ContentVersion-DSG Marketing,recordType=ContentVersion.DSG_Marketing
ContentVersion-General,recordType=
ContentVersion-IP config,recordType=ContentVersion.IP_config
ContentVersion-Opportunity Content,recordType=ContentVersion.Opportunity_Content
Content_Access_List__c-Content Access List Layout,recordType=
Contract-Contract Layout,recordType=
ContractLineItem-Contract Line Item Layout,recordType=
Country__c-Country Layout,recordType=
Currency_Exchange_Rate__c-Currency Exchange Rate Layout,recordType=
Customer_Survey__c-Survey Layout,recordType=
DataSteward_log__c-DataSteward log Layout,recordType=
Deal_Approval_Manager__c-Deal Approval Manager Layout,recordType=
Delivering_Plant__c-Delivering Plant Layout,recordType=
Design_Technology__c-BU Family Layout,recordType=
Distribution_Channel__c-Distribution Channel Layout,recordType=
Division_Code__c-Division Code Layout,recordType=
Document_Like_History__c-Document Like History Layout,recordType=
Document_View_History_Detail__c-Document View History Detail Layout,recordType=
Document_View_History__c-Document View History Layout,recordType=
Domain_Microsite_Map__c-Domain Microsite Map Layout,recordType=
DuplicateRecordItem-Duplicate Record Item Layout,recordType=
DuplicateRecordSet-Duplicate Record Set Layout,recordType=
E2EAccGrpReqContactJunc__c-E2EAccGrpReqContactJunc Layout,recordType=
E2EAccGrpReqProdFeatJunc__c-E2E AccGrpReqProdFeatJunc Layout,recordType=
E2E_AccGrpReq_ChatterMember_Junc__c-E2E AccGrpReq ChatterMember Junc Layout,recordType=
E2E_Acc_Group_Setup_Request__c-E2E Acc Group Setup Request Layout,recordType=
EDA_Card__c-EDA Card Layout,recordType=
ER_Agreement__c-Restricted Employee Form Layout,recordType=
ER_Employee__c-Restricted Employee Layout,recordType=
ER_Project__c-Restricted Employee Project Layout,recordType=
EmailMessage-Email Message Layout - Email-to-Case,recordType=
Email_Alert_log__c-Email Alert log Layout,recordType=
Email__c-Email Layout,recordType=
Emailweb__c-Emailweb Layout,recordType=
Entitlement-Licenses Page Layout Entitlements NonSupport,recordType=
EntityMilestone-Object Milestone Layout,recordType=
Error_Line_Item__c-Error Line Item Layout,recordType=
Error_Message__kav-Error Message Layout,recordType=
Error__c-Error Layout,recordType=
Event-Event Layout,recordType=
Exception_eDAoT__c-Exception eDAoT Layout,recordType=
Expected_Close_Quarter__c-Expected Close Quarter Layout,recordType=
FeedItem-Feed Item Layout,recordType=
FeedItemsToDelete__c-FeedItemsToDelete Layout,recordType=
Forecast_Hierarchy__c-Forecast Hierarchy Layout,recordType=
Forecast_SW_Detail__c-Forecast_SW_Detail Layout,recordType=
Forecast_Target__c-Forecast Target Layout,recordType=
Forecast__c-Forecast Layout,recordType=Forecast__c.WSFO_Forecast
Forecast__c-Forecast Layout,recordType=Forecast__c.SFO_Forecast
