,2_1 - Inside Sales - Sales Insight
BMCRF_ChangeRequestTrigger,enabled=true
BMCRF_Class_GLOBAL_CONSTANTS,enabled=false
BMCRF_Class_KnowledgeArticles,enabled=false
BMCRF_Class_KnowledgeArticlesDetail,enabled=false
BMCRF_Class_ListTickets,enabled=false
BMCRF_Class_MOT,enabled=false
BMCRF_Class_PendingSurveyList,enabled=false
BMCRF_Class_SubmitATicket,enabled=false
BMCRF_Class_ViewTickets,enabled=false
BMCRF_CreateIncidentEmail,enabled=false
BMCRF_FIN_Class_KnowledgeArticles,enabled=false
BMCRF_FIN_Class_KnowledgeArticlesDetail,enabled=false
BMCRF_FIN_Class_ListTickets,enabled=false
BMCRF_FIN_Class_MOT,enabled=false
BMCRF_FIN_Class_SubmitATicket,enabled=false
BMCRF_FIN_Class_ViewTickets,enabled=false
BMCRF_FormatDateTime,enabled=false
BMCRF_HD_Ticket_AllOperations,enabled=false
BMCRF_HR_Class_KnowledgeArticles,enabled=false
BMCRF_HR_Class_KnowledgeArticlesDetail,enabled=false
BMCRF_HR_Class_ListTickets,enabled=false
BMCRF_HR_Class_MOT,enabled=false
BMCRF_HR_Class_SubmitATicket,enabled=false
BMCRF_HR_Class_ViewTickets,enabled=false
BMCRF_IncidentAutoClose,enabled=false
BMCRF_IncidentAutoClose_CRPendingApprove,enabled=false
BMCRF_IncidentSLABreachNotification,enabled=false
BMCRF_Incident_Update_AC,enabled=false
BMCRF_NotifyPendingApprover_Controller,enabled=false
BMCRF_SRD_Popup,enabled=false
BMCRF_ScheduledDeleteAssets,enabled=false
BPRejectRecallMail,enabled=false
Bat_Delete_Acc_Team,enabled=false
Batch_Entitlement,enabled=false
Billing_Plan_CTE,enabled=false
BookingPackageSignatories,enabled=false
BookingPackageTriggerHandler,enabled=true
CCMS_CCRController_AC,enabled=false
CCRCreateURL,enabled=false
CCREditCCMSFieldsExtension_AC,enabled=false
CCRTriggerHandler_AC,enabled=false
COMM_Controller,enabled=false
COSAgreementPageController,enabled=false
COSAlertComponentController,enabled=false
COSCCRLinkViewController,enabled=false
COSCaseCreationController,enabled=false
COSCaseDetailController,enabled=false
COSCasesTranslation,enabled=false
COSEntitlementBatchProcess,enabled=false
